Complexity,Loss,Equation
1,0.9119001,"x5"
2,0.47529802,"tan(x4)"
3,0.46547675,"cube(tan(x4))"
4,0.46545455,"cube(cube(tan(x4)))"
5,0.2597696,"inv(sin(x1 + x4))"
6,0.23579043,"cube(inv(sin(x1 + x4)))"
7,0.20162116,"11.785243 - cube(x1 * x4)"
8,0.18799041,"214.79997 - exp(square(x1 * x4))"
9,0.18288366,"(x5 / 0.12816952) - cube(x1 * x4)"
10,0.16138832,"(x5 / 0.015099165) - square(exp(x4 * x1))"
11,0.16098516,"square(x5 / -0.10708865) - exp(square(x1 * x4))"
12,0.1508785,"((x1 / 0.014633838) * x5) - square(cube(x4 * x1))"
13,0.14387025,"(x5 / 0.01441452) - cube(square(x4 * (x1 * sin(x4))))"
14,0.14323479,"cube((x5 / 0.014408726) - cube(square((sin(x4) * x4) * x1)))"
15,0.12072727,"((x5 / x1) + (cube(x1) / inv(1.1431807 - x4))) / 4.758061e-7"
18,0.12,"((cube(x1) / (0.024796722 + inv(1.1777103 - x4))) + (x5 / x1)) / 3.989555e-8"
21,0.11272727,"((cube(x1) / inv(1.3467818 - x4)) + (((x5 / x1) + inv(sqrt(x0))) - x1)) / 1.908796e-8"
23,0.11211054,"(((cube(x1) / inv(1.3967688 - x4)) + (((sqrt(inv(x0)) + x5) / x1) - x1)) / 0.008166359) + x4"
24,0.10895668,"(((cube(x1) / inv(1.3950928 - x4)) + (((x5 + sqrt(inv(x0))) / x1) - x1)) / 0.007054141) + square(x4)"
25,0.10800917,"cube((((cube(x1) / inv(1.3950928 - x4)) + (((sqrt(inv(x0)) + x5) / x1) - x1)) / 0.007054141) + square(x4))"
26,0.10752449,"cube(((((cube(x1) / inv(1.3950928 - x4)) - x1) + ((inv(sqrt(x0)) + x5) / x1)) / 0.007054141) + x4) + x4"
27,0.09309091,"((x3 + x2) + ((x1 / -0.7501493) + (((cube(x1) * x2) / inv(tan(-1.8343171 - x4))) - (x1 - x5)))) / 1.5045848e-7"
29,0.075636365,"((((cube(x1) * x1) * x1) / inv(tan(-1.857946 - x4))) + (x5 + cube((cos(x2) - (x3 - x1)) * -1.3958219))) / 2.8676257e-7"
32,0.0751156,"((cube((cos(x2) - (x3 - x1)) * -1.4389869) + (x5 + ((x1 * (cube(x1) * x1)) / inv(tan(-1.8581209 - x4))))) / 0.0010058797) + cube(x5)"
33,0.067659326,"(((cube((cos(x2) - (x3 - x1)) * -1.3572531) + (((x1 * x1) * cube(x1)) / inv(tan(-1.859106 - x4)))) + x5) - (x1 - x5)) / 0.009542486"
34,0.06631084,"cube((((cube((cos(x2) - (x3 - x1)) * -1.4056531) + x5) + ((cube(x1) * (x1 * x1)) / inv(tan(-1.8572766 - x4)))) - (x1 - x5)) / 0.008237377)"
35,0.06342,"(((cube((cos(x2) - (x3 - x1)) * -1.4055545) - (x1 - x5)) + ((x1 * (cube(x1) * (x1 / inv(tan(-1.8575186 - x4))))) + x5)) / 0.0041200295) - x0"
36,0.063161336,"(((cube((cos(x2) - (x3 - x1)) * -1.4055545) - (x1 - x5)) + ((x1 * (cube(x1) * (x1 / inv(tan(-1.8575186 - x4))))) + x5)) / 0.0041200295) + -2.7231324"
37,0.06253947,"cube(((((cube(x1) * (x1 * x1)) / inv(tan(-1.8571428 - x4))) + (x5 + cube((cos(x2) - (x3 - x1)) * -1.4055511))) - (x1 - x5)) / 0.008192595) - exp(x3)"
38,0.06185208,"cube(((((((x1 * cube(x1)) * x1) / inv(tan(-1.8575186 - x4))) + (cube((cos(x2) - (x3 - x1)) * -1.4055545) - (x1 - x5))) + x5) / 0.0041200295) - cube(square(x2)))"
39,0.061818182,"((((x1 * 0.7880778) / inv(tan(-1.8673784 - x4))) * cube(x1)) + ((0.88145137 - (x1 - x5)) + cube((cos(x2) * ((x2 + x5) * -0.4972692)) - (x1 - x3)))) / 2.0306454e-25"
43,0.061697632,"cube(((((((cube(cos(x2) - (x3 - x1)) * -2.382015) - (x1 - x5)) + (x5 + (((x1 * x1) * cube(x1)) / inv(tan(-1.8622139 - x4))))) / 0.008146754) - cube(x5)) / x2) * x2) - x3"
44,0.06104055,"(((x2 + cube(((x2 + x5) * (cos(x2) * -0.5882302)) - (x1 - x3))) + ((((cube(x1) / inv(tan(-1.883199 - x4))) * x1) * x2) - (x1 - x5))) / 0.018481163) - (x1 - cube(x5 * x4))"
45,0.060498152,"(((x2 + (cube(((-0.5882302 * cos(x2)) * (x2 + x5)) - (x1 - x3)) + ((x1 * x2) * (cube(x1) / inv(tan(-1.883199 - x4)))))) - (x1 - x5)) / 0.018481173) - (square(x2) - cube(x5 * x4))"
46,0.059311457,"(((x1 * (cube(x1) * (x2 / inv(tan(-1.8826147 - x4))))) + (cube(((x5 + x2) * (cos(x2) * -0.5873601)) - (x1 - x3)) + (x2 - (x1 - x5)))) / 0.01866982) - (x5 * cube(x2 - (x4 + x5)))"
47,0.05928327,"cube(((((x2 + cube(((cos(x2) * (x5 + x2)) * -0.5882302) - (x1 - x3))) + (((cube(x1) * x1) * x2) / inv(tan(-1.883199 - x4)))) - (x1 - x5)) / 0.018481173) - (cube(x2 - (x5 + x4)) * x5))"
48,0.058525346,"((((x2 + ((cube((((x5 + x2) * cos(x2)) * -0.5882302) - (x1 - x3)) + ((cube(x1) / inv(tan(-1.883199 - x4))) * x1)) * x2)) - (x1 - x5)) / 0.018481163) - (log(x1) - cube(x5 * x4))) / 0.037298393"
49,0.057045653,"((((x2 + ((((cube(x1) / inv(tan(-1.883199 - x4))) * x1) + cube(((x5 + x2) * (cos(x2) * cube(-0.8338955))) - (x1 - x3))) * x2)) - (x1 - x5)) / 0.018481163) - (log(x0) - cube(x5 * x4))) / 0.037298393"
50,0.056727294,"((((((x1 * (x2 / inv(tan(-1.8821825 - x4)))) * cube(x1)) + (cube((cos(x2) * ((square(x2) + x5) * -0.5873601)) - (x1 - x3)) + x2)) - (x1 - x5)) / 0.019138142) - (x5 * cube(x2 - (x4 + x5)))) / 0.0072165853"
